driver,driver_name
bottas,Valtteri Bottas
hamilton,Lewis Hamilton
max_verstappen,Max Verstappen
vettel,Sebastian Vettel
leclerc,Charles Leclerc
kevin_magnussen,Kevin Magnussen
hulkenberg,Nico Hulkenberg
raikkonen,Kimi Raikkonen
stroll,Lance Stroll
kvyat,Daniil Kvyat
gasly,Pierre Gasly
norris,Lando Norris
perez,Sergio Perez
albon,Alexander Albon
giovinazzi,Antonio Giovinazzi
russell,George Russell
kubica,Robert Kubica
grosjean,Roman Grosjean
ricciardo,Daniel Ricciardo
sainz,Carlos Sainz
ocon,Esteban Ocon
latifi,Nicholas Latifi
aitken,Jack Aitken
pietro_fittipaldi,Pietro Fittipaldi
tsunoda,Yuki Tsunoda
mick_schumacher,Mick Schumacher
alonso,Fernando Alonso
mazepin,Nikita Mazepin
zhou,Guanyu Zhou
de_vries,Nyck de Vries
