season,round,circuit_id,start_time
2019,1,albert_park,16:00
2019,2,bahrain,18:00
2019,3,shanghai,14:00
2019,4,baku,14:00
2019,5,catalunya,15:00
2019,6,monaco,15:00
2019,7,villeneuve,14:00
2019,8,ricard,15:00
2019,9,red_bull_ring,15:00
2019,10,silverstone,14:00
2019,11,hockenheimring,15:00
2019,12,hungaroring,15:00
2019,13,spa,15:00
2019,14,monza,15:00
2019,15,marina_bay,20:00
2019,16,sochi,14:00
2019,17,suzuka,14:00
2019,18,rodriguez,13:00
2019,19,americas,13:00
2019,20,interlagos,14:00
2019,21,yas_marina,17:00
2020,1,red_bull_ring,15:00
2020,2,red_bull_ring,15:00
2020,3,hungaroring,15:00
2020,4,silverstone,14:00
2020,5,silverstone,14:00
2020,6,catalunya,15:00
2020,7,spa,15:00
2020,8,monza,15:00
2020,9,mugello,15:00
2020,10,sochi,14:00
2020,11,nurburgring,14:00
2020,12,portimao,13:00
2020,13,imola,13:00
2020,14,istanbul,13:00
2020,15,bahrain,18:00
2020,16,bahrain,20:00
2020,17,yas_marina,17:00
2021,1,bahrain,18:00
2021,2,imola,15:00
2021,3,portimao,15:00
2021,4,catalunya,15:00
2021,5,monaco,15:00
2021,6,baku,16:00
2021,7,ricard,15:00
2021,8,red_bull_ring,15:00
2021,9,red_bull_ring,15:00
2021,10,silverstone,15:00
2021,11,hungaroring,15:00
2021,12,spa,15:00
2021,13,zandvoort,15:00
2021,14,monza,15:00
2021,15,sochi,15:00
2021,16,istanbul,13:00
2021,17,americas,14:00
2021,18,rodriguez,13:00
2021,19,interlagos,14:00
2021,20,losail,17:00
2021,21,jeddah,19:00
2021,22,yas_marina,17:00
2022,1,bahrain,18:00
2022,2,jeddah,19:00
2022,3,albert_park,14:00
2022,4,imola,15:00
2022,5,miami,15:30
2022,6,catalunya,15:00
2022,7,monaco,15:00
2022,8,baku,16:00
2022,9,villeneuve,14:00
2022,10,silverstone,15:00
2022,11,red_bull_ring,15:00
2022,12,ricard,15:00
2022,13,hungaroring,15:00
2022,14,spa,15:00
2022,15,zandvoort,15:00
2022,16,monza,15:00
2022,17,marina_bay,20:00
2022,18,suzuka,14:00
2022,19,americas,14:00
2022,20,rodriguez,13:00
2022,21,interlagos,14:00
2022,22,yas_marina,17:00
